name,nameJP,zipcode,address,addressJP,burnables,plasticcontainers,plasticbottles,cans,foodandbeverage,solidwaste,ceramicglass,newspaperads,magazinesmisc,cardboard
Shizu A,志津A,5250041,"Aoji-cho 1~500-banchi, 1500~1600-banchi",青地町1から500番地、1500から1600番地台,火 金,水1 水3 水5,月4,木3,月3,月1,木2,月2,木1,木4
Shizu A,志津A,5250041,"Aoji-cho 500, 600-banchi (Shizu A or Shizu B Confirmation Required)",青地町500、600番地（志津Aまたは志津Bか要確認）,火 金,水1 水3 水5,月4,木3,月3,月1,木2,月2,木1,木4
Shizu A,志津A,5250044,"Okamoto-cho 2-banchi, Yamate-Kansen to Yamagawa",岡本町2番地、山手幹線より山側,火 金,水1 水3 水5,月4,木3,月3,月1,木2,月2,木1,木4
Shizu A,志津A,5250043,Banba-cho,馬場町,火 金,水1 水3 水5,月4,木3,月3,月1,木2,月2,木1,木4
Shizu A,志津A,5250042,Yamadera-cho,山寺町,火 金,水1 水3 水5,月4,木3,月3,月1,木2,月2,木1,木4
Shizu A,志津A,5250045,Wakakusa 1~8-chome,若草一から八丁目,火 金,水1 水3 水5,月4,木3,月3,月1,木2,月2,木1,木4
Shizu B,志津B,5250041,Aoji-cho 700~1300-banchi,青地町700から1300番地,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250041,"Aoji-cho 500, 600-banchi (Shizu A or Shizu B Confirmation Required)",青地町500、600番地（志津Aまたは志津Bか要確認）,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250047,"Oiwake 1~3-chome (""Runesu An"" is in Kusatsu B)",追分一から三丁目（ルネス・アンは草津B）,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250047,"Oiwake 4-chome 2~3-banchi, 9~12-banchi (Shizu A or Yagura A Confirmation Required)",追分四丁目2から3番地、9から12番地（志津Aまたは矢倉Aか要確認）,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250047,"Oiwake 4-chome 8-banchi, 13~14-banchi",追分四丁目8番地、13から14番地,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250047,Oiwake 5~7-chome,追分五から七丁目,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250047,"Oiwake 8-chome 1~5-banchi, 9~16-banchi",追分八丁目1から5番地、9から16番地,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250047,"Oiwake 8-chome 6-banchi, 8-banchi (Shizu A or Yagura A Confirmation Required)",追分八丁目6番地、8番地（志津Aまたは矢倉Aか要確認）,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250048,Oiwake-Minami 1-chome,追分南一丁目,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250048,"Oiwake-Minami 2-chome Rairakku, 1-banchi, 3-banchi, 5~14-banchi, 23~25-banchi, Part of 22-banchi",追分南二丁目ライラック、1番、3番、5から14番、23から25番、22番の一部,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250048,Oiwake-Minami 3~9-chome,追分南三から九丁目,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250044,Okamoto-cho,岡本町,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250033,Higashi-Kusatsu 3-chome 13-banchi,東草津三丁目13番,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250033,Higashi-Kusatsu 4-chome,東草津四丁目,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Shizu B,志津B,5250045,Wakakusa 1~8-chome Biankūru,若草一から八丁目ビアンクール,火 金,水1 水3 水5,木4,木1,月1,月2,木3,月4,月3,木2
Kusatsu A,草津A,5250034,Kusatsu 1~4-chome,草津一から四丁目,月 木,金1 金3 金5,水4,火3,火4,火2,水3,水1,火1,水2
Kusatsu A,草津A,5250036,"Kusatsu-cho Gurīnpia, Kusatsu Housing Complex, Roku-No-Tsubo Housing Complex, Beruvitaun, etc.",草津町グリーンピア、草津団地、六ノ坪団地、ベルヴィタウンなど,月 木,金1 金3 金5,水4,火3,火4,火2,水3,水1,火1,水2
Kusatsu A,草津A,5250035,Nishi-Kusatsu 1~2-chome,西草津一から二丁目,月 木,金1 金3 金5,水4,火3,火4,火2,水3,水1,火1,水2
Kusatsu A,草津A,5250053,Yagura 1~2-chome 7-banchi 8~20-go (Excluding Mezon-Kubo),矢倉一から二丁目7番8から20号（メゾン久保除く）,月 木,金1 金3 金5,水4,火3,火4,火2,水3,水1,火1,水2
Kusatsu B,草津B,5250047,Oiwake 1~3-chome Runesu An,追分一から三丁目ルネス・アン,月 木,水1 水3 水5,火2,金2,火1,火4,金1,金4,金3,火3
